npi_row_index,pecos_row_indices
13,"[2968, 1480]"
31,[3392]
59,[2744]
83,"[4573, 4150, 7245, 3461]"
102,[6789]
141,[2999]
177,[3076]
188,"[4947, 4456]"
193,"[1245, 3649]"
205,"[1456, 998]"
206,[655]
208,[2294]
218,[3547]
224,[3726]
226,[2532]
240,[2757]
281,[643]
291,[3737]
312,"[3083, 3665]"
314,[2299]
362,"[268, 910]"
401,"[9439, 1472]"
461,[3182]
468,[2669]
476,[6692]
491,[67]
510,[7394]
516,"[4150, 4573]"
552,"[9439, 1472, 3386]"
556,[3863]
608,"[7260, 6875, 1023, 3744]"
610,"[3514, 475]"
620,[5641]
659,[170]
679,[2512]
690,[6401]
718,"[8142, 9419]"
727,[4787]
736,[3457]
743,"[3649, 3117]"
744,[3899]
752,"[2169, 2549, 2186, 750]"
756,[291]
769,[9699]
781,"[1396, 1889]"
787,[2429]
789,[1839]
790,[739]
791,[2892]
797,"[20, 3243]"
803,"[2855, 2374]"
806,"[2404, 631]"
808,[1964]
827,"[13, 2888]"
828,[27]
834,"[1506, 2633, 2636]"
841,[2824]
843,[1380]
845,[3394]
848,[2149]
860,[3467]
861,[1318]
875,[752]
877,"[421, 1742, 3135, 7307]"
879,"[3156, 1151, 758, 3217, 1772, 2159]"
880,[417]
892,"[3971, 3520, 3274, 942, 3806, 276, 2876, 286, 1601, 622, 2989, 3034, 2040, 1434, 2345]"
924,"[4389, 7377]"
927,"[3805, 2145]"
951,[120]
954,[1181]
970,[1901]
973,[1187]
975,[889]
999,[938]
1008,"[7260, 1023, 3744, 6875, 797, 212]"
1012,"[1931, 3223, 2770, 1619]"
1015,[3551]
1019,[232]
1023,[2697]
1026,[3076]
1032,[658]
1039,[992]
1044,[1307]
1054,[1112]
1066,[2088]
1070,"[2610, 2013]"
1072,[1275]
1102,"[2160, 2963]"
1110,[2754]
1116,[913]
1133,"[1396, 1889]"
1140,[2414]
1149,[2234]
1160,[2424]
1177,[1771]
1180,[131]
1186,[2797]
1213,"[3750, 3845]"
1215,[852]
1235,[4380]
1244,[57]
1283,[4981]
1291,[2955]
1316,"[3532, 795]"
1319,[1990]
1322,"[2037, 2197]"
1343,[5025]
1347,[4796]
1371,[643]
1378,"[3484, 2475, 1098]"
1385,[1581]
1396,[1535]
1398,[666]
1414,"[1732, 937]"
1432,[2401]
1440,"[722, 5543, 6348]"
1441,[2363]
1442,[4981]
1448,"[4573, 4150]"
1450,[1968]
1468,"[822, 763, 1084, 3530]"
1476,[3292]
1484,[3112]
1490,[3990]
1495,[3088]
1506,[3442]
1510,[1674]
1540,[2771]
1546,[4981]
1568,[6293]
1582,[3364]
1600,"[961, 3445]"
1605,[3594]
1635,[115]
1659,[1481]
1676,"[9943, 5061]"
1684,"[3103, 91]"
1709,[1776]
1712,[3419]
1716,[1301]
1719,[1667]
1722,[3212]
1727,[772]
1740,[134]
1741,[2601]
1754,[214]
1755,[1695]
1765,[3940]
1766,"[3050, 2020]"
1809,[1706]
1816,[1021]
1827,[2089]
1829,[3448]
1837,[2074]
1858,[2336]
1869,[3244]
1872,[2545]
1877,"[6009, 4076, 2168]"
1892,[315]
1904,[3321]
1908,"[215, 3371, 3740]"
1932,[3237]
1940,[2118]
1946,[399]
1973,[628]
1985,[3037]
1995,[990]
2016,"[2136, 923, 2690]"
2017,[2115]
2019,[2269]
2020,[1634]
2026,[9231]
2051,[1749]
2061,[2533]
2098,"[3458, 3920]"
2104,[5452]
2105,"[4573, 4150, 7245]"
2107,[934]
2109,[915]
2120,[9943]
2144,[3245]
2176,[3177]
2183,[245]
2208,"[1943, 233, 2323]"
2209,[3140]
2215,[700]
2221,[2911]
2255,"[3604, 2248]"
2256,[3315]
2259,[2774]
2267,"[528, 2993, 712]"
2288,[668]
2292,[679]
2296,[1854]
2297,[943]
2298,[1969]
2300,"[710, 2100, 2506]"
2339,[1196]
2340,[393]
2342,"[297, 2493]"
2385,[3035]
2388,"[1472, 9439]"
2393,"[4150, 4573]"
2402,[1662]
2415,[2019]
2416,[368]
2420,[1080]
2424,"[348, 3779, 741]"
2425,[875]
2426,"[34, 2351]"
2433,[255]
2446,[1827]
2450,[2890]
2462,"[1653, 505, 3016]"
2487,[531]
2492,[1379]
2501,[3351]
2523,[3688]
2533,[9072]
2550,[4765]
2554,"[3067, 3362, 3508, 2491]"
2557,[2997]
2584,[495]
2598,[3917]
2602,[807]
2604,[2178]
2635,"[494, 3343]"
2636,"[1889, 1396]"
2643,[2532]
2660,[1853]
2667,[2556]
