npi_row_index,pecos_row_indices
83,"[4573, 4150, 7245, 3461]"
102,[6789]
141,[2999]
177,[3076]
188,"[4947, 4456]"
193,"[1245, 3649]"
226,[2532]
281,[643]
291,[3737]
401,"[9439, 1472]"
476,[6692]
510,[7394]
516,"[4150, 4573]"
552,"[9439, 1472, 3386]"
608,"[7260, 6875, 1023, 3744]"
620,[5641]
690,[6401]
718,"[8142, 9419]"
727,[4787]
769,[9699]
781,"[1889, 1396]"
924,"[4389, 7377]"
1008,"[7260, 1023, 3744, 6875, 797, 212]"
1026,[3076]
1039,[992]
1133,"[1396, 1889]"
1180,[131]
1235,[4380]
1283,[4981]
1343,[5025]
1347,[4796]
1442,[4981]
1448,"[4573, 4150]"
1546,[4981]
1568,[6293]
1659,[1481]
1676,"[9943, 5061]"
1877,"[6009, 4076, 2168]"
1973,[628]
2026,[9231]
2104,[5452]
2105,"[4573, 4150, 7245]"
2109,[915]
2120,[9943]
2183,[245]
2388,"[1472, 9439]"
2393,"[4150, 4573]"
2533,[9072]
2550,[4765]
2636,"[1396, 1889]"
2714,"[3684, 3201]"
2717,[7394]
2983,"[3461, 7245, 4150]"
2993,"[501, 936]"
3182,[4787]
3244,"[1889, 1396]"
3387,"[3649, 1245]"
3538,"[9175, 1226, 3338, 3808, 895, 355, 1042, 3565, 3538, 3512, 2925, 1741, 899, 2761, 2764, 317, 7379, 789, 881, 2938]"
3573,"[4573, 3461, 4150]"
3577,[3903]
3605,[2171]
3671,[7245]
3719,[4981]
3737,"[4150, 3461, 4573]"
3754,[4391]
3861,[9499]
3950,"[4418, 4714, 992]"
4064,"[9439, 1472]"
4078,"[4150, 4573, 3461]"
4118,"[8142, 9419]"
4214,"[8559, 131]"
4224,[4787]
4266,"[1976, 402]"
4331,[6106]
4584,[4432]
4587,[6348]
4682,[8199]
4706,"[4384, 3201, 3684]"
4805,[9654]
4939,[9129]
5157,"[4150, 3461]"
5181,"[1889, 1396]"
5247,[2501]
5261,[9041]
5412,[3536]
5416,[4435]
5443,"[881, 899, 2925, 2938, 1042, 3538, 317, 895, 3512, 2731, 3565, 1741, 3808, 2761, 7379, 1226, 3338, 789, 9175, 355, 2764]"
5466,[9931]
5509,"[950, 2123, 2626]"
5536,[4432]
5545,[9886]
5564,[4717]
5662,[4299]
5716,[7059]
5740,[1738]
5907,"[7245, 4150, 4573, 3461]"
5938,"[9943, 5061]"
5960,"[3528, 3219]"
6140,[4384]
6145,[109]
6231,[8684]
6350,[4765]
6426,[9886]
6498,[3042]
6554,"[1889, 1396]"
6610,"[4150, 3461, 4573]"
6616,[3872]
6638,[542]
6662,"[2761, 3808, 355, 1741, 2764, 9175, 789, 7379, 1226, 3512, 3565, 3338, 895, 3538, 2925, 899]"
6740,[4232]
6773,"[4714, 4418, 992]"
6868,"[9378, 3162]"
6886,[3609]
6890,[4787]
7006,"[7260, 3744, 1023, 212, 797, 6875]"
7036,[8142]
7080,[9419]
7125,[2289]
7128,"[970, 1688]"
7182,"[3649, 1245]"
7269,[5831]
7379,"[3461, 7245]"
7590,[8015]
7602,"[4661, 2880, 815, 2885, 6339]"
7705,"[4418, 992, 4714]"
7729,"[8142, 9419]"
7770,[4435]
7786,"[9175, 2761, 895, 1226, 3565, 3338, 789, 3512, 2764, 1042, 355, 3808, 1741, 7379, 317, 3538]"
7788,[7764]
7834,"[4150, 4573, 3461]"
