pecos_row_index,npi_row_indices
2757,240
13,827
1318,861
3971,892
913,1116
852,1215
1581,1385
3594,1605
1301,1716
2601,1741
214,1754
2269,2019
2019,2415
34,2426
502,2701
1647,2766
3956,2875
949,2969
999,2981
3080,3086
2300,3165
2188,3384
1086,3976
1430,4044
1754,4132
1665,4148
929,4157
1482,4187
176,4540
1568,4668
10,4672
2184,4733
2651,4860
1733,4885
236,4912
1320,4915
3813,4955
1816,5085
583,5086
2126,5167
199,5276
2473,5367
2837,5374
2205,5432
2655,5432
2788,5630
3942,5852
940,5965
2992,5977
3007,6104
2362,6182
2187,6216
3511,6258
1611,6299
3132,6340
3287,6367
927,6405
2789,6622
90,6833
2734,6949
2628,7205
3423,7442
3637,7575
448,7639
3122,7657
3314,7883
1735,8765
3543,9341
1809,9401
1278,9499
102,9804
1314,9810
2422,9941
511,10523
688,10768
1814,11108
3399,11205
37,11343
2215,12205
926,12213
1300,12229
2391,12253
1988,12272
3395,12278
1093,12287
3803,12453
2652,12540
1018,12662
2838,12768
737,12842
3769,12902
445,12952
1803,13019
1995,13190
1377,13199
3835,13201
2421,13227
1636,13235
3468,13289
3997,13459
1039,13585
157,13615
3263,13685
1887,13842
2509,13962
2615,14105
1074,14141
582,14449
132,14529
3675,14606
726,14720
2810,14802
2502,14805
2649,14854
984,15038
174,15154
3874,15388
2994,15395
1455,15396
2701,15396
3623,15411
1825,15420
3413,15537
361,15613
2028,15688
3074,15754
2360,15782
2961,15950
2207,16474
1204,16644
2917,16720
2906,16726
1460,16730
1159,16744
208,16750
466,16758
3211,16769
549,16869
612,17006
2781,17012
3720,17061
188,17183
1184,17213
122,17344
3804,17347
1823,17453
2077,17655
277,17718
2317,17793
3206,18199
2226,18247
3829,18249
1831,18321
2918,18342
1997,18348
2361,18389
1309,18464
857,18616
2979,18716
87,18778
23,18829
2759,18853
2083,18941
3267,18956
2464,18957
1168,18976
1043,19078
548,19277
1994,19337
3611,19641
2891,19873
1240,20525
2137,20640
2893,20678
3004,20819
1542,20861
1974,21473
3851,21519
2488,21818
3398,22191
1616,22314
1549,22438
3155,22495
1346,22626
912,22627
1757,23077
2863,23112
3603,23153
522,23236
339,23307
2660,23362
3989,23387
1848,23433
294,23543
2469,23620
2254,23739
292,24359
3930,24376
