npi_row_index,pecos_row_indices
240,[2757]
827,[13]
861,[1318]
892,[3971]
1116,[913]
1215,[852]
1385,[1581]
1605,[3594]
1716,[1301]
1741,[2601]
1754,[214]
2019,[2269]
2415,[2019]
2426,[34]
2701,[502]
2766,[1647]
2875,[3956]
2969,[949]
2981,[999]
3086,[3080]
3165,[2300]
3384,[2188]
3976,[1086]
4044,[1430]
4132,[1754]
4148,[1665]
4157,[929]
4187,[1482]
4540,[176]
4668,[1568]
4672,[10]
4733,[2184]
4860,[2651]
4885,[1733]
4912,[236]
4915,[1320]
4955,[3813]
5085,[1816]
5086,[583]
5167,[2126]
5276,[199]
5367,[2473]
5374,[2837]
5432,[2205]
5630,[2788]
5852,[3942]
5965,[940]
5977,[2992]
6104,[3007]
6182,[2362]
6216,[2187]
6258,[3511]
6299,[1611]
6340,[3132]
6367,[3287]
6405,[927]
6622,[2789]
6833,[90]
6949,[2734]
7205,[2628]
7442,[3423]
7575,[3637]
7639,[448]
7657,[3122]
7883,[3314]
8765,[1735]
9341,[3543]
9401,[1809]
9499,[1278]
9804,[102]
9810,[1314]
9941,[2422]
10523,[511]
10768,[688]
11108,[1814]
11205,[3399]
11343,[37]
12205,[2215]
12213,[926]
12229,[1300]
12253,[2391]
12272,[1988]
12278,[3395]
12287,[1093]
12453,[3803]
12540,[2652]
12662,[1018]
12768,[2838]
12842,[737]
12902,[3769]
12952,[445]
13019,[1803]
13190,[1995]
13199,[1377]
13201,[3835]
13227,[2421]
13235,[1636]
13289,[3468]
13459,[3997]
13585,[1039]
13615,[157]
13685,[3263]
13842,[1887]
13962,[2509]
14105,[2615]
14141,[1074]
14449,[582]
14529,[132]
14606,[3675]
14720,[726]
14802,[2810]
14805,[2502]
14854,[2649]
15038,[984]
15154,[174]
15388,[3874]
15395,[2994]
15396,[1455]
15411,[3623]
15420,[1825]
15537,[3413]
15613,[361]
15688,[2028]
15754,[3074]
15782,[2360]
15950,[2961]
16474,[2207]
16644,[1204]
16720,[2917]
16726,[2906]
16730,[1460]
16744,[1159]
16750,[208]
16758,[466]
16769,[3211]
16869,[549]
17006,[612]
17012,[2781]
17061,[3720]
17183,[188]
17213,[1184]
17344,[122]
17347,[3804]
17453,[1823]
17655,[2077]
17718,[277]
17793,[2317]
18199,[3206]
18247,[2226]
18249,[3829]
18321,[1831]
18342,[2918]
18348,[1997]
18389,[2361]
18464,[1309]
18616,[857]
18716,[2979]
18778,[87]
18829,[23]
18853,[2759]
18941,[2083]
18956,[3267]
18957,[2464]
18976,[1168]
19078,[1043]
19277,[548]
19337,[1994]
19641,[3611]
19873,[2891]
20525,[1240]
20640,[2137]
20678,[2893]
20819,[3004]
20861,[1542]
21473,[1974]
21519,[3851]
21818,[2488]
22191,[3398]
22314,[1616]
22438,[1549]
22495,[3155]
22626,[1346]
22627,[912]
23077,[1757]
23112,[2863]
23153,[3603]
23236,[522]
23307,[339]
23362,[2660]
23387,[3989]
23433,[1848]
23543,[294]
23620,[2469]
23739,[2254]
24359,[292]
24376,[3930]
